EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_268,m_2,c_9,m_2,c_7,0.7179,0.8526341682,model_2043
episode_269,c_9,m_1,c_3,s,0.7299,0.8001178539,model_768
episode_270,m_3,c_10,c_11,c_11,0.7011,1.0390606451,model_564
episode_271,c_8,c_8,c_8,c_12,0.7169,0.8715992013,model_1871
episode_272,c_9,c_5,c_7,m_2,0.7108,0.8322971715,model_1051
episode_273,c_7,c_9,m_2,m_1,0.7285,0.8107211583,model_319
episode_274,c_9,s,-,-,0.6974,0.8855017164,model_1680
episode_275,c_4,c_3,m_3,m_2,0.7199,0.8205918969,model_1276
episode_276,c_5,m_2,c_5,m_3,0.7327,0.7943757248,model_228
episode_277,c_2,c_9,c_10,c_6,0.7448,0.7494242482,model_429
episode_278,c_2,c_6,c_1,c_12,0.7134,0.8425831398,model_1553
episode_279,c_5,m_2,m_3,m_1,0.6797,0.9699206633,model_1571
episode_280,m_1,m_1,c_2,c_1,0.6393,1.0189261709,model_940
episode_281,c_6,c_4,c_12,c_11,0.7464,0.749322251,model_1099
episode_282,c_5,m_2,m_3,m_1,0.6797,0.9699206633,model_1571
episode_283,c_9,m_1,c_5,c_7,0.7579,0.7177530344,model_1045
episode_284,c_5,c_8,s,-,0.7114,0.8497379333,model_649
episode_285,c_7,c_9,c_11,c_11,0.7496,0.7627056499,model_371
episode_286,c_5,c_5,c_2,c_6,0.7226,0.8180536951,model_247
episode_287,c_8,c_3,c_7,c_4,0.7326,0.777879619,model_1574
episode_288,c_2,c_12,c_11,c_11,0.7534,0.7763155985,model_324
episode_289,c_1,c_12,c_10,c_10,0.7216,0.8260623306,model_2015
episode_290,c_1,c_10,s,-,0.6817,0.9192839398,model_1883
episode_291,c_5,m_1,m_1,c_7,0.6888,0.8970728025,model_1270
episode_292,c_1,c_3,m_1,c_12,0.7389,0.7658107798,model_1781
episode_293,c_7,m_2,c_6,c_4,0.7163,0.8201699578,model_1559
episode_294,c_9,c_12,c_9,c_11,0.7662,0.724366151,model_1464
episode_295,c_5,c_1,m_1,c_4,0.6894,0.9263687606,model_1022
episode_296,c_8,c_2,c_3,c_6,0.71,0.8534429258,model_546
episode_297,c_8,c_1,c_4,c_1,0.6849,0.9652672208,model_717
episode_298,c_1,c_7,c_3,c_12,0.7448,0.7979235147,model_1679
episode_299,c_6,c_2,m_2,c_2,0.7028,0.8845116398,model_1118
episode_300,c_3,c_4,c_8,m_3,0.721,0.8336628502,model_1598
episode_301,c_3,c_6,c_7,c_7,0.7364,0.7914828366,model_2050
episode_302,c_7,c_1,c_12,c_3,0.7051,0.8701570437,model_1610
episode_303,c_3,m_1,c_7,c_4,0.74,0.7649871735,model_1921
episode_304,c_11,c_8,c_12,c_1,0.7378,0.7961081826,model_1065
episode_305,c_1,s,-,-,0.6824,0.9222057566,model_275
episode_305,c_1,s,-,-,0.6812,0.9313422739,model_1330
episode_305,c_1,s,-,-,0.6678,0.9662022907,model_1639
episode_306,c_9,c_7,c_10,c_5,0.7101,0.8781219827,model_213
episode_307,c_11,m_2,s,-,0.708,0.8852515594,model_2014
episode_308,c_10,c_5,c_4,m_1,0.7299,0.7967267155,model_1882
episode_309,c_4,c_9,c_2,c_8,0.6914,0.9277446179,model_1914
episode_310,c_5,c_8,c_4,m_1,0.7029,0.8489739115,model_510
episode_311,c_11,c_9,c_2,c_11,0.7238,0.8402155328,model_1551
episode_312,c_8,c_9,m_1,m_2,0.6974,0.8943244023,model_1615
