Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1969,c_7,c_3,c_4,c_2,0.9804,0.05900244
model_1970,m_3,c_12,c_11,c_2,0.8686,0.39204627
model_1971,c_5,c_6,c_8,m_1,0.9797,0.06660371
model_1972,c_12,c_2,c_9,m_1,0.9787,0.06291342
model_1973,c_3,c_6,c_10,c_1,0.9803,0.061203342
model_1974,c_3,c_8,c_11,c_7,0.9802,0.06474334
model_1975,m_3,c_7,c_9,c_11,0.8729,0.38218647
model_1976,c_11,c_3,s,-,0.9769,0.073035516
model_1977,c_11,m_2,c_4,c_9,0.9665,0.11277246
model_1978,c_4,c_4,c_10,c_2,0.981,0.059797462
model_1979,c_9,c_2,c_11,c_2,0.9809,0.0608912
model_1980,c_10,c_6,s,-,0.9771,0.0738695
model_1981,c_7,c_2,c_5,m_1,0.9807,0.061709102
model_1982,c_11,c_11,c_12,m_3,0.9789,0.065839626
model_1983,c_2,c_9,m_1,c_6,0.9742,0.0842221
model_1984,c_7,c_4,c_8,m_2,0.9812,0.058605887
model_1985,c_12,c_8,c_4,c_7,0.9796,0.06365447
model_1986,c_3,c_5,c_7,m_3,0.9803,0.05910885
model_1987,c_1,c_6,m_2,c_2,0.9782,0.07053371
model_1988,c_9,c_4,c_5,c_4,0.9801,0.060629748
model_1989,m_3,m_1,c_1,m_3,0.555,1.3086894
model_1990,c_8,c_7,c_8,c_9,0.9789,0.06410198
model_1991,c_4,c_11,m_2,c_5,0.9759,0.08217485
model_1992,c_3,c_9,s,-,0.9752,0.07465463
model_1993,c_1,c_9,c_7,c_5,0.9803,0.062590964
model_1994,m_1,c_9,c_8,c_8,0.9575,0.14548953
model_1995,c_7,c_2,m_3,m_2,0.9807,0.0693111
model_1996,c_2,c_7,c_7,m_2,0.9803,0.061561108
model_1997,c_5,c_2,c_5,c_1,0.9816,0.05907004
model_1998,c_7,c_8,m_1,c_10,0.9731,0.08878468
model_1999,c_12,m_3,c_4,c_9,0.9747,0.08828791
model_2000,c_3,c_10,c_11,c_10,0.9798,0.060402248
model_2001,c_1,m_3,s,-,0.9436,0.20352252
model_2002,c_7,m_3,c_4,c_3,0.9545,0.14700186
model_2003,c_4,c_1,c_1,-,0.9781,0.07477353
model_2004,c_11,m_2,c_7,c_9,0.965,0.11192546
model_2005,c_5,c_2,c_8,s,0.98,0.061623175
model_2006,c_2,c_1,c_6,c_1,0.9802,0.060126975
model_2007,c_12,c_12,c_2,m_3,0.9795,0.06245256
model_2008,c_12,c_1,m_3,c_7,0.9763,0.07803334
model_2009,c_9,m_3,s,-,0.9654,0.12065855
model_2010,c_7,c_4,c_11,c_8,0.9808,0.060152236
model_2011,c_3,c_9,m_1,c_3,0.973,0.08686389
model_2012,c_12,c_1,c_3,c_10,0.98,0.06208241
model_2013,c_6,c_4,c_1,c_4,0.9808,0.05913852
