EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_177,c_10,m_3,m_3,c_1,0.7247,0.8120008371,model_1689
episode_178,c_1,c_10,c_7,c_2,0.7236,0.8044521817,model_1287
episode_179,c_4,c_1,c_7,c_2,0.6979,0.8998645809,model_1812
episode_180,c_12,c_10,c_3,c_3,0.7383,0.7778798167,model_380
episode_181,c_3,m_2,c_2,c_9,0.746,0.7352220037,model_1857
episode_182,c_1,c_1,m_2,c_8,0.7232,0.8060328196,model_606
episode_183,c_2,c_4,c_9,c_8,0.7435,0.7618846831,model_1220
episode_184,c_2,c_6,c_7,c_2,0.7154,0.854589181,model_1579
episode_185,c_2,s,-,-,0.6772,0.9486585265,model_250
episode_185,c_2,s,-,-,0.6899,0.9436688982,model_1043
episode_186,c_9,c_11,c_7,m_3,0.7087,0.8927543093,model_1089
episode_187,c_2,c_5,s,-,0.7029,0.8936433578,model_1231
episode_188,c_3,m_1,c_5,c_6,0.7314,0.7829235833,model_231
episode_189,c_2,c_5,m_3,c_8,0.7278,0.7953279351,model_602
episode_190,m_1,c_6,c_8,c_10,0.6903,0.905122327,model_1625
episode_191,c_10,c_2,m_3,c_8,0.7454,0.7400028546,model_713
episode_192,c_9,c_7,s,-,0.7022,0.8965753549,model_337
episode_192,c_9,c_7,s,-,0.6685,0.995799735,model_1520
episode_193,c_12,m_3,c_11,c_10,0.7916,0.63901881,model_674
episode_194,c_6,m_3,c_8,s,0.7381,0.7739884102,model_1670
episode_195,c_10,m_1,c_4,c_11,0.739,0.7732443058,model_1536
episode_196,c_9,c_7,c_10,c_5,0.7101,0.8781219827,model_213
episode_197,c_5,c_11,m_3,m_2,0.7381,0.7444478851,model_1693
episode_198,c_8,m_3,c_12,c_12,0.7729,0.7123670655,model_1046
episode_199,c_8,c_11,c_10,c_2,0.7533,0.7903001865,model_152
episode_200,c_12,c_2,c_12,m_2,0.7423,0.7626180931,model_1534
episode_201,c_4,m_1,c_7,c_5,0.737,0.7868890296,model_398
episode_202,c_1,c_1,c_4,s,0.7083,0.8586752849,model_114
episode_203,c_12,c_8,m_1,m_3,0.7363,0.7700016438,model_1850
episode_204,c_10,m_1,c_7,c_12,0.7609,0.7327970257,model_752
episode_205,c_1,c_12,c_11,c_12,0.7669,0.6988646129,model_1807
episode_206,c_4,m_1,m_3,c_4,0.6914,0.9267254698,model_620
episode_207,c_1,c_6,c_7,s,0.7159,0.8354594097,model_1575
episode_208,c_2,m_2,c_6,c_6,0.7641,0.7246577671,model_1325
episode_209,c_8,m_3,c_11,c_6,0.7635,0.7100142729,model_310
episode_210,c_2,m_3,c_8,c_6,0.7371,0.7709150921,model_1008
episode_211,c_9,c_2,c_3,m_3,0.7154,0.8192665898,model_1207
episode_212,c_3,m_1,m_3,m_2,0.6727,0.9922747056,model_1013
episode_213,c_9,m_1,c_10,c_4,0.7459,0.7662300817,model_1715
episode_214,c_4,m_2,c_11,c_2,0.7366,0.7918611801,model_317
episode_215,c_4,c_5,c_3,c_3,0.7329,0.7712995602,model_1912
episode_216,c_7,c_9,c_5,c_12,0.6895,0.998207092,model_23
episode_217,c_6,c_4,s,-,0.6731,0.937131893,model_444
episode_217,c_6,c_4,s,-,0.6979,0.9253407131,model_1315
episode_217,c_6,c_4,s,-,0.684,0.9104518469,model_1936
episode_218,c_7,c_9,c_2,m_2,0.738,0.7884788572,model_938
episode_219,c_1,m_3,m_2,c_5,0.6873,0.9039675798,model_207
